"date","no2"
2023-06-01 00:00:00,4.14559955484586
2023-06-01 00:05:00,4.93609290369362
2023-06-01 00:10:00,8.71602545654275
2023-06-01 00:15:00,-4.80016220724312
2023-06-01 00:20:00,3.42980530362689
2023-06-01 00:25:00,5.332273883811
2023-06-01 00:30:00,6.7492293245119
2023-06-01 00:35:00,3.25052530641343
2023-06-01 00:40:00,9.23803643750177
2023-06-01 00:45:00,11.3499033869757
2023-06-01 00:50:00,4.83710613579145
2023-06-01 00:55:00,8.00786272074789
2023-06-01 01:00:00,5.25424562733782
2023-06-01 01:05:00,7.44809240652065
2023-06-01 01:10:00,9.74365495467839
2023-06-01 01:15:00,-1.15229974136706
2023-06-01 01:20:00,1.22504998775158
2023-06-01 01:25:00,0.756133702400722
2023-06-01 01:30:00,9.32485700490176
2023-06-01 01:35:00,8.47833825571796
2023-06-01 01:40:00,9.19479919889307
2023-06-01 01:45:00,4.03454396891387
2023-06-01 01:50:00,8.2565969410503
2023-06-01 01:55:00,5.22985760423524
2023-06-01 02:00:00,2.99059729525918
2023-06-01 02:05:00,6.40476986021499
2023-06-01 02:10:00,2.66288844531934
2023-06-01 02:15:00,6.78692290201758
2023-06-01 02:20:00,7.22109099156336
2023-06-01 02:25:00,0.0216665125567688
2023-06-01 02:30:00,11.2810865873709
2023-06-01 02:35:00,4.84100006850789
2023-06-01 02:40:00,5.74647746955689
2023-06-01 02:45:00,3.91667360177722
2023-06-01 02:50:00,3.00065444680296
2023-06-01 02:55:00,7.01543860666831
2023-06-01 03:00:00,-1.34176707809669
2023-06-01 03:05:00,5.66175916965226
2023-06-01 03:10:00,0.929816574393808
2023-06-01 03:15:00,2.27596851453537
2023-06-01 03:20:00,10.2582711324875
2023-06-01 03:25:00,3.23524687382421
2023-06-01 03:30:00,1.92861042569403
2023-06-01 03:35:00,7.15155318174425
2023-06-01 03:40:00,6.08937132682187
2023-06-01 03:45:00,4.92324106858334
2023-06-01 03:50:00,6.66566670755839
2023-06-01 03:55:00,2.81780396152046
2023-06-01 04:00:00,6.85031938452967
2023-06-01 04:05:00,12.6050206789262
2023-06-01 04:10:00,9.91192080627068
2023-06-01 04:15:00,5.28837621304506
2023-06-01 04:20:00,8.38343009535484
2023-06-01 04:25:00,-0.636211555650477
2023-06-01 04:30:00,8.44273859263674
2023-06-01 04:35:00,8.17967267970174
2023-06-01 04:40:00,13.7879972360072
2023-06-01 04:45:00,4.7544353679904
2023-06-01 04:50:00,6.57826519562211
2023-06-01 04:55:00,2.56586623016853
2023-06-01 05:00:00,8.51626747027049
2023-06-01 05:05:00,8.00283072320095
2023-06-01 05:10:00,3.58365888565984
2023-06-01 05:15:00,6.93556618610983
2023-06-01 05:20:00,7.38609333354418
2023-06-01 05:25:00,9.41768934756586
2023-06-01 05:30:00,6.46769572409308
2023-06-01 05:35:00,4.96186973970974
2023-06-01 05:40:00,8.05812750331629
2023-06-01 05:45:00,4.89215401898191
2023-06-01 05:50:00,5.76932449302866
2023-06-01 05:55:00,9.17406672949451
2023-06-01 06:00:00,6.90433267513323
2023-06-01 06:05:00,9.31609380571553
2023-06-01 06:10:00,8.21637934543593
2023-06-01 06:15:00,9.17099931620754
2023-06-01 06:20:00,7.44476743747373
2023-06-01 06:25:00,7.51009814985679
2023-06-01 06:30:00,8.17450317098983
2023-06-01 06:35:00,5.60909637118876
2023-06-01 06:40:00,3.85232289919903
2023-06-01 06:45:00,1.50799983370825
2023-06-01 06:50:00,4.19915579812313
2023-06-01 06:55:00,14.1809847393091
2023-06-01 07:00:00,8.72576877977201
2023-06-01 07:05:00,4.86857893282378
2023-06-01 07:10:00,4.31459095039929
2023-06-01 07:15:00,11.5641143902581
2023-06-01 07:20:00,6.15688678185586
2023-06-01 07:25:00,7.22519059979671
2023-06-01 07:30:00,6.49142481494485
2023-06-01 07:35:00,9.0968886948237
2023-06-01 07:40:00,12.6653005195197
2023-06-01 07:45:00,4.38152064567631
2023-06-01 07:50:00,9.50162155027162
2023-06-01 07:55:00,13.9878964764993
2023-06-01 08:00:00,16.0586893798523
2023-06-01 08:05:00,11.8591779075551
2023-06-01 08:10:00,15.8487987632945
2023-06-01 08:15:00,13.8566700865344
2023-06-01 08:20:00,13.7741452741029
2023-06-01 08:25:00,15.9823338551702
2023-06-01 08:30:00,18.698655409932
2023-06-01 08:35:00,22.2564502850781
2023-06-01 08:40:00,15.9580265878189
2023-06-01 08:45:00,7.29233854764762
2023-06-01 08:50:00,15.7137487197141
2023-06-01 08:55:00,11.4923871754589
2023-06-01 09:00:00,14.039721565108
2023-06-01 09:05:00,12.625859712188
2023-06-01 09:10:00,8.38003118690424
2023-06-01 09:15:00,12.1624306025852
